forwardEulerRC      deltaT = 1.000000 ns
Time           V1             V2             
24.0           0.34037        0.11858        
25.0           0.38057        0.12987        
26.0           0.41457        0.14246        
27.0           0.44358        0.15560        
28.0           0.46853        0.16880        
29.0           0.49014        0.18170        
30.0           0.50898        0.19409        
31.0           0.48633        0.20463        
32.0           0.41832        0.20839        
33.0           0.36130        0.20578        
34.0           0.31416        0.19895        
35.0           0.27482        0.18946        
36.0           0.24167        0.17843        
37.0           0.21348        0.16664        
38.0           0.18933        0.15462        
39.0           0.16846        0.14275        
40.0           0.15032        0.13128        
41.0           0.18133        0.12185        
42.0           0.24997        0.11952        
43.0           0.30626        0.12323        
44.0           0.35288        0.13090        
45.0           0.39187        0.14103        
46.0           0.42479        0.15257        
47.0           0.45282        0.16476        
48.0           0.47688        0.17709        
49.0           0.49769        0.18921        
50.0           0.51581        0.20088        
51.0           0.48480        0.21048        
52.0           0.41617        0.21294        
53.0           0.35990        0.20934        
54.0           0.31331        0.20177        
55.0           0.27435        0.19171        
56.0           0.24146        0.18025        
57.0           0.21346        0.16811        
58.0           0.18943        0.15583        
59.0           0.16865        0.14376        
60.0           0.15056        0.13212        
61.0           0.18160        0.12256        
62.0           0.25025        0.12012        
63.0           0.30654        0.12375        
64.0           0.35315        0.13135        
65.0           0.39213        0.14143        
66.0           0.42503        0.15291        
67.0           0.45305        0.16506        
68.0           0.47710        0.17736        
69.0           0.49789        0.18945        
70.0           0.51599        0.20110        
71.0           0.48497        0.21067        
72.0           0.41632        0.21311        
73.0           0.36004        0.20950        
74.0           0.31344        0.20191        
75.0           0.27446        0.19184        
76.0           0.24157        0.18036        
77.0           0.21356        0.16821        
78.0           0.18952        0.15592        
79.0           0.16873        0.14384        
80.0           0.15063        0.13219        
81.0           0.17395        0.12233        
82.0           0.24257        0.11917        
83.0           0.30014        0.12233        
84.0           0.34778        0.12966        
85.0           0.38757        0.13959        
86.0           0.42113        0.15103        
87.0           0.44968        0.16319        
88.0           0.47417        0.17554        
89.0           0.49533        0.18771        
90.0           0.51375        0.19946        
91.0           0.49069        0.20944        
92.0           0.42231        0.21271        
93.0           0.36493        0.20966        
94.0           0.31747        0.20244        
95.0           0.27783        0.19261        
96.0           0.24440        0.18126        
97.0           0.21597        0.16919        
98.0           0.19158        0.15693        
99.0           0.17051        0.14483        
100.0          0.15217        0.13316        
101.0          0.17530        0.12324        

RK4_RC      deltaT = 0.200000
Time           V1             V2             
0.0            0.00000        0.00000        
0.2            0.00197        0.00001        
0.4            0.00779        0.00010        
0.6            0.01731        0.00034        
0.8            0.03038        0.00079        
1.0            0.04686        0.00151        
1.2            0.06467        0.00255        
1.4            0.08180        0.00388        
1.6            0.09829        0.00550        
1.8            0.11417        0.00737        
2.0            0.12946        0.00947        
2.2            0.14420        0.01178        
2.4            0.15841        0.01429        
2.6            0.17211        0.01697        
2.8            0.18532        0.01981        
3.0            0.19808        0.02279        
3.2            0.21040        0.02591        
3.4            0.22229        0.02913        
3.6            0.23378        0.03246        
3.8            0.24489        0.03588        
4.0            0.25563        0.03938        
4.2            0.26602        0.04295        
4.4            0.27608        0.04659        
4.6            0.28580        0.05027        
4.8            0.29523        0.05399        
5.0            0.30435        0.05776        
5.2            0.31319        0.06155        
5.4            0.32176        0.06536        
5.6            0.33007        0.06919        
5.8            0.33813        0.07302        
6.0            0.34594        0.07687        
6.2            0.35353        0.08071        
6.4            0.36089        0.08455        
6.6            0.36804        0.08838        
6.8            0.37499        0.09220        
7.0            0.38173        0.09600        
7.2            0.38829        0.09979        
7.4            0.39466        0.10355        
7.6            0.40086        0.10729        
7.8            0.40689        0.11100        
8.0            0.41275        0.11468        
8.2            0.41846        0.11834        
8.4            0.42401        0.12195        
8.6            0.42942        0.12554        
8.8            0.43468        0.12909        
9.0            0.43981        0.13260        
9.2            0.44480        0.13607        
9.4            0.44967        0.13951        
9.6            0.45441        0.14290        
9.8            0.45903        0.14625        
10.0           0.46354        0.14956        
10.2           0.46596        0.15281        
10.4           0.46443        0.15595        
10.6           0.45909        0.15889        
10.8           0.45010        0.16158        
11.0           0.43759        0.16395        
11.2           0.42367        0.16596        
11.4           0.41033        0.16763        
11.6           0.39754        0.16897        
11.8           0.38527        0.17002        
12.0           0.37351        0.17079        
12.2           0.36222        0.17130        
12.4           0.35138        0.17158        
12.6           0.34096        0.17164        
12.8           0.33096        0.17149        
13.0           0.32134        0.17116        
13.2           0.31209        0.17066        
13.4           0.30319        0.17000        
13.6           0.29463        0.16919        
13.8           0.28639        0.16825        
14.0           0.27844        0.16719        
14.2           0.27079        0.16602        
14.4           0.26342        0.16474        
14.6           0.25630        0.16338        
14.8           0.24944        0.16193        
15.0           0.24282        0.16040        
15.2           0.23643        0.15881        
15.4           0.23026        0.15716        
15.6           0.22429        0.15545        
15.8           0.21853        0.15370        
16.0           0.21296        0.15190        
16.2           0.20757        0.15006        
16.4           0.20235        0.14820        
16.6           0.19730        0.14630        
16.8           0.19242        0.14439        
17.0           0.18768        0.14245        
17.2           0.18310        0.14050        
17.4           0.17865        0.13854        
17.6           0.17434        0.13656        
17.8           0.17017        0.13459        
18.0           0.16611        0.13260        
18.2           0.16218        0.13062        
18.4           0.15836        0.12864        
18.6           0.15466        0.12667        
18.8           0.15105        0.12470        
19.0           0.14756        0.12273        
19.2           0.14416        0.12078        
19.4           0.14085        0.11884        
19.6           0.13764        0.11691        
19.8           0.13452        0.11499        
20.0           0.13148        0.11309        
20.2           0.12886        0.11120        
20.4           0.12990        0.10937        
20.6           0.13479        0.10767        
20.8           0.14338        0.10617        
21.0           0.15552        0.10493        
21.2           0.17075        0.10402        
21.4           0.18570        0.10343        
21.6           0.20005        0.10316        
21.8           0.21383        0.10318        
22.0           0.22708        0.10345        
22.2           0.23981        0.10398        
22.4           0.25206        0.10472        
22.6           0.26384        0.10567        
22.8           0.27518        0.10682        
23.0           0.28611        0.10813        
23.2           0.29663        0.10961        
23.4           0.30677        0.11122        
23.6           0.31654        0.11297        
23.8           0.32597        0.11484        
24.0           0.33506        0.11682        
24.2           0.34384        0.11890        
24.4           0.35232        0.12106        
24.6           0.36050        0.12330        
24.8           0.36841        0.12561        
25.0           0.37606        0.12799        
25.2           0.38345        0.13041        
25.4           0.39060        0.13289        
25.6           0.39752        0.13541        
25.8           0.40422        0.13796        
26.0           0.41071        0.14054        
26.2           0.41699        0.14314        
26.4           0.42307        0.14576        
26.6           0.42897        0.14840        
26.8           0.43469        0.15105        
27.0           0.44024        0.15370        
27.2           0.44563        0.15636        
27.4           0.45085        0.15902        
27.6           0.45592        0.16167        
27.8           0.46084        0.16432        
28.0           0.46563        0.16696        
28.2           0.47027        0.16959        
28.4           0.47479        0.17220        
28.6           0.47918        0.17480        
28.8           0.48345        0.17739        
29.0           0.48760        0.17995        
29.2           0.49164        0.18249        
29.4           0.49557        0.18501        
29.6           0.49940        0.18751        
29.8           0.50312        0.18999        
30.0           0.50675        0.19244        
30.2           0.50995        0.19486        
30.4           0.50947        0.19722        
30.6           0.50513        0.19944        
30.8           0.49708        0.20145        
31.0           0.48547        0.20319        
31.2           0.47075        0.20460        
31.4           0.45631        0.20566        
31.6           0.44246        0.20640        
31.8           0.42916        0.20685        
32.0           0.41639        0.20703        
32.2           0.40412        0.20695        
32.4           0.39233        0.20664        
32.6           0.38100        0.20612        
32.8           0.37009        0.20540        
33.0           0.35960        0.20450        
33.2           0.34950        0.20343        
33.4           0.33977        0.20221        
33.6           0.33040        0.20085        
33.8           0.32137        0.19936        
34.0           0.31266        0.19776        
34.2           0.30426        0.19605        
34.4           0.29615        0.19425        
34.6           0.28833        0.19236        
34.8           0.28078        0.19039        
35.0           0.27348        0.18836        
35.2           0.26643        0.18627        
35.4           0.25961        0.18412        
35.6           0.25302        0.18192        
35.8           0.24665        0.17969        
36.0           0.24048        0.17742        
36.2           0.23450        0.17512        
36.4           0.22872        0.17279        
36.6           0.22311        0.17044        
36.8           0.21768        0.16808        
37.0           0.21242        0.16570        
37.2           0.20732        0.16332        
37.4           0.20237        0.16093        
37.6           0.19756        0.15854        
37.8           0.19290        0.15615        
38.0           0.18837        0.15377        
38.2           0.18398        0.15139        
38.4           0.17971        0.14902        
38.6           0.17556        0.14665        
38.8           0.17153        0.14431        
39.0           0.16761        0.14197        
39.2           0.16380        0.13965        
39.4           0.16009        0.13735        
39.6           0.15648        0.13507        
39.8           0.15297        0.13281        
40.0           0.14956        0.13056        
40.2           0.14656        0.12834        
40.4           0.14725        0.12619        
40.6           0.15178        0.12416        
40.8           0.16036        0.12235        
41.0           0.17411        0.12082        
41.2           0.18924        0.11965        
41.4           0.20377        0.11881        
41.6           0.21770        0.11829        
41.8           0.23109        0.11805        
42.0           0.24395        0.11808        
